id,type,color
342,apple,red
343,banana,yellow
344,banana,green
345,apple,red
346,banana,green
347,banana,green
348,apple,red
349,apple,green
350,apple,red
351,banana,yellow
352,banana,yellow
353,apple,yellow
354,cherry,red
355,cherry,red
356,banana,green
357,banana,yellow
358,cherry,purple
359,banana,green
360,apple,yellow
361,cherry,purple
362,banana,yellow
363,banana,yellow
364,cherry,red
365,banana,green
366,banana,yellow
367,apple,yellow
368,apple,red
369,banana,green
370,apple,red
371,apple,green
372,banana,green
373,apple,red
374,cherry,red
375,banana,yellow
376,banana,green
377,cherry,red
378,apple,green
379,banana,green
380,banana,green
381,banana,green
382,cherry,purple
383,banana,yellow
384,cherry,purple
385,banana,yellow
386,apple,yellow
387,cherry,red
388,cherry,purple
389,banana,yellow
390,banana,green
391,cherry,red
392,cherry,purple
393,banana,green
394,cherry,purple
395,apple,green
396,apple,red
397,cherry,purple
398,banana,green
399,apple,green
400,cherry,red
401,banana,green
402,apple,red
403,cherry,purple
404,cherry,red
405,banana,green
406,banana,yellow
407,banana,green
408,banana,yellow
409,apple,yellow
410,apple,green
411,banana,green
412,apple,yellow
413,banana,yellow
414,banana,green
415,banana,green
416,apple,red
417,banana,yellow
418,banana,yellow
419,banana,green
420,banana,green
421,banana,green
422,cherry,red
423,banana,yellow
424,apple,yellow
425,banana,yellow
426,cherry,purple
427,cherry,purple
428,apple,yellow
429,apple,red
430,apple,green
431,cherry,purple
432,cherry,purple
433,banana,green
434,apple,yellow
435,apple,green
436,cherry,red
437,banana,yellow
438,cherry,purple
439,apple,yellow
440,banana,green
441,apple,yellow
442,cherry,red
443,banana,yellow
444,apple,yellow
445,apple,red
446,cherry,purple
447,apple,green
448,apple,red
449,banana,yellow
450,apple,green
451,apple,yellow
452,apple,red
453,cherry,purple
454,cherry,purple
455,cherry,red
456,banana,yellow
457,banana,green
458,cherry,red
459,banana,yellow
460,cherry,red
461,banana,green
462,cherry,red
463,apple,red
464,apple,green
465,banana,yellow
466,banana,yellow
467,apple,red
468,banana,green
469,banana,yellow
470,banana,yellow
471,apple,yellow
472,apple,green
473,banana,green
474,cherry,red
475,apple,green
476,cherry,purple
477,banana,green
478,banana,green
479,cherry,red
480,cherry,purple
481,apple,green
482,banana,green
483,cherry,purple
484,apple,yellow
485,apple,red
486,banana,yellow
487,cherry,purple
488,cherry,purple
489,cherry,red
490,banana,green
491,apple,red
492,banana,yellow
493,banana,yellow
494,apple,green
495,apple,green
496,banana,yellow
497,cherry,purple
498,banana,yellow
499,apple,yellow
500,cherry,purple
501,banana,green
502,cherry,purple
503,cherry,purple
504,cherry,purple
505,banana,green
506,cherry,purple
507,cherry,red
508,cherry,red
509,cherry,purple
510,cherry,purple
511,apple,green
512,apple,yellow
513,apple,green
514,banana,green
515,banana,green
516,apple,red
517,banana,green
518,cherry,red
519,banana,green
520,cherry,purple
521,banana,yellow
522,apple,red
523,apple,green
524,apple,red
525,cherry,red
526,apple,green
527,banana,green
528,banana,yellow
529,cherry,red
530,cherry,purple
531,cherry,purple
532,apple,green
533,apple,green
534,cherry,purple
535,apple,yellow
536,apple,yellow
537,apple,green
538,apple,red
539,cherry,purple
540,apple,red
541,banana,yellow
542,apple,green
543,apple,red
544,cherry,red
545,apple,yellow
546,apple,red
547,cherry,red
548,apple,red
549,cherry,red
550,apple,red
551,cherry,purple
552,cherry,red
553,banana,yellow
554,apple,green
555,cherry,red
556,banana,yellow
557,apple,red
558,apple,green
559,banana,yellow
560,banana,green
561,banana,yellow
562,banana,yellow
563,cherry,red
564,banana,green
565,banana,yellow
566,apple,green
567,cherry,purple
568,banana,green
569,banana,green
570,apple,red
571,apple,red
572,apple,green
573,banana,green
574,apple,yellow
575,banana,green
576,banana,green
577,apple,yellow
578,apple,yellow
579,banana,yellow
580,banana,yellow
581,banana,green
582,apple,yellow
583,apple,green
584,apple,green
585,apple,red
586,banana,green
587,apple,red
588,apple,red
589,banana,green
590,cherry,red
591,banana,green
592,banana,green
593,apple,yellow
594,cherry,purple
595,cherry,red
596,cherry,purple
597,apple,yellow
598,banana,yellow
599,banana,yellow
600,cherry,purple
601,cherry,purple
602,apple,green
603,banana,green
604,cherry,red
605,banana,green
606,apple,green
607,banana,green
608,cherry,purple
609,apple,red
610,banana,green
611,apple,yellow
612,banana,yellow
613,apple,yellow
614,apple,green
615,banana,yellow
616,apple,yellow
617,apple,yellow
618,banana,yellow
619,apple,yellow
620,apple,red
621,apple,yellow
622,banana,green
623,banana,yellow
624,cherry,red
625,apple,red
626,apple,yellow
627,banana,green
628,apple,green
629,cherry,red
630,apple,green
631,cherry,red
632,cherry,purple
633,apple,red
634,banana,green
635,apple,green
636,banana,yellow
637,banana,green
638,apple,yellow
639,apple,red
640,banana,yellow
641,cherry,purple
642,banana,green
643,apple,green
644,apple,green
645,apple,yellow
646,banana,green
647,apple,red
648,apple,yellow
649,banana,yellow
650,apple,green
651,banana,yellow
652,apple,red
653,apple,yellow
654,apple,yellow
655,apple,green
656,apple,yellow
657,cherry,red
658,apple,green
659,apple,yellow
660,apple,yellow
661,apple,yellow
662,banana,green
663,banana,green
664,cherry,purple
665,apple,red
666,banana,green
667,cherry,red
668,apple,red
669,apple,green
670,apple,green
671,cherry,red
672,banana,yellow
673,banana,green
674,banana,yellow
675,banana,yellow
676,apple,green
677,banana,yellow
678,banana,green
679,cherry,red
680,banana,yellow
681,apple,yellow
682,banana,green
683,banana,yellow
684,apple,green
685,apple,green
686,banana,yellow
687,cherry,purple
688,apple,red
689,banana,green
690,apple,yellow
691,cherry,red
692,apple,yellow
693,banana,green
694,apple,yellow
695,banana,green
696,apple,yellow
697,cherry,purple
698,banana,green
699,cherry,red
700,banana,green
701,banana,yellow
702,apple,red
703,cherry,purple
704,cherry,purple
705,apple,red
706,apple,green
707,cherry,red
708,banana,yellow
709,banana,yellow
710,banana,yellow
711,apple,yellow
712,cherry,red
713,banana,yellow
714,banana,yellow
715,cherry,purple
716,cherry,purple
717,apple,red
718,apple,green
719,cherry,red
720,apple,yellow
721,cherry,purple
722,cherry,purple
723,banana,green
724,cherry,red
725,cherry,red
726,cherry,red
727,banana,green
728,banana,yellow
729,banana,yellow
730,apple,red
731,apple,yellow
732,apple,green
733,apple,red
734,cherry,purple
735,cherry,purple
736,apple,yellow
737,apple,green
738,cherry,purple
739,apple,green
740,cherry,purple
741,cherry,red
742,apple,green
743,banana,yellow
744,cherry,purple
745,banana,yellow
746,cherry,red
747,apple,red
748,banana,green
749,apple,green
750,apple,red
751,apple,green
752,banana,green
753,apple,green
754,banana,yellow
755,banana,yellow
756,banana,green
757,banana,green
758,apple,green
759,apple,yellow
760,apple,green
761,apple,yellow
762,banana,yellow
763,apple,green
764,apple,green
765,cherry,purple
766,banana,green
767,cherry,purple
768,apple,yellow
769,banana,green
770,apple,green
771,banana,yellow
772,cherry,purple
773,cherry,purple
774,banana,yellow
775,apple,green
776,apple,red
777,apple,red
778,cherry,purple
779,cherry,purple
780,cherry,purple
781,apple,yellow
782,apple,green
783,cherry,red
784,cherry,purple
785,apple,green
786,banana,green
787,banana,green
788,apple,red
789,banana,green
790,apple,yellow
791,apple,red
792,banana,yellow
793,banana,yellow
794,banana,green
795,apple,green
796,banana,green
797,banana,green
798,apple,green
799,apple,red
800,banana,green
801,banana,green
802,apple,red
803,apple,yellow
804,banana,yellow
805,cherry,red
806,cherry,purple
807,apple,red
808,apple,yellow
809,apple,green
810,cherry,red
811,banana,green
812,cherry,purple
813,banana,yellow
814,banana,green
815,apple,yellow
816,apple,red
817,apple,red
818,banana,green
819,cherry,red
820,apple,green
821,banana,yellow
822,cherry,purple
823,banana,green
824,apple,red
825,cherry,purple
826,apple,yellow
827,banana,yellow
828,cherry,purple
829,banana,yellow
830,banana,green
831,cherry,red
832,banana,yellow
833,cherry,red
834,apple,red
835,cherry,red
836,cherry,red
837,apple,yellow
838,apple,yellow
839,apple,red
840,apple,green
841,cherry,purple
842,banana,green
843,cherry,red
844,apple,green
845,banana,green
846,banana,green
847,apple,yellow
848,banana,yellow
849,cherry,red
850,banana,yellow
851,cherry,red
852,apple,red
853,apple,yellow
854,apple,yellow
855,cherry,red
856,apple,yellow
857,cherry,purple
858,apple,green
859,banana,yellow
860,banana,yellow
861,banana,yellow
862,apple,yellow
863,banana,green
864,cherry,red
865,cherry,red
866,apple,yellow
867,cherry,purple
868,banana,green
869,banana,yellow
870,banana,green
871,banana,green
872,banana,green
873,apple,red
874,banana,yellow
875,banana,green
876,banana,green
877,banana,green
878,cherry,purple
879,banana,green
880,cherry,red
881,cherry,red
882,apple,green
883,apple,green
884,apple,red
885,apple,green
886,cherry,purple
887,apple,red
888,cherry,purple
889,apple,red
890,banana,green
891,banana,green
892,banana,yellow
893,cherry,purple
894,cherry,red
895,banana,yellow
896,apple,green
897,banana,green
898,apple,red
899,cherry,purple
900,apple,green
901,banana,green
902,apple,green
903,apple,yellow
904,apple,yellow
905,apple,green
906,banana,green
907,cherry,red
908,apple,red
909,apple,green
910,banana,green
911,cherry,red
912,banana,green
913,banana,yellow
914,apple,yellow
915,apple,green
916,banana,yellow
917,banana,yellow
918,apple,yellow
919,apple,green
920,cherry,purple
921,banana,green
922,banana,green
923,banana,yellow
924,apple,yellow
925,apple,green
926,banana,yellow
927,banana,green
928,cherry,red
929,banana,green
930,apple,yellow
931,banana,green
932,apple,yellow
933,apple,yellow
934,cherry,red
935,apple,green
936,apple,red
937,banana,yellow
938,banana,green
939,cherry,red
940,banana,yellow
941,banana,green
942,banana,green
943,cherry,purple
944,cherry,purple
945,banana,green
946,banana,yellow
947,cherry,purple
948,banana,yellow
949,cherry,purple
950,cherry,red
951,banana,green
952,apple,green
953,banana,green
954,apple,yellow
955,banana,green
956,cherry,purple
957,cherry,red
958,apple,green
959,cherry,red
960,apple,green
961,banana,green
962,apple,yellow
963,apple,yellow
964,banana,yellow
965,apple,yellow
966,banana,yellow
967,apple,yellow
968,apple,red
969,apple,green
970,apple,green
971,apple,red
972,apple,yellow
973,cherry,red
974,banana,green
975,banana,yellow
976,cherry,purple
977,apple,yellow
978,apple,red
979,banana,yellow
980,banana,yellow
981,cherry,red
982,banana,yellow
983,cherry,red
984,cherry,purple
985,cherry,red
986,cherry,purple
987,cherry,red
988,apple,yellow
989,apple,green
990,apple,yellow
991,banana,green
992,cherry,red
993,cherry,purple
994,apple,red
995,apple,yellow
996,banana,green
997,banana,yellow
998,banana,green
999,banana,yellow
1000,apple,yellow
1001,cherry,purple
1002,banana,yellow
1003,banana,yellow
1004,apple,red
1005,banana,yellow
1006,apple,green
1007,apple,green
1008,cherry,purple
1009,banana,yellow
1010,apple,green
1011,banana,yellow
1012,banana,green
1013,apple,green
1014,banana,green
1015,banana,green
1016,apple,red
1017,apple,red
1018,banana,green
1019,banana,green
1020,banana,green
1021,cherry,red
1022,cherry,red
1023,banana,green
1024,apple,yellow
1025,apple,yellow
1026,cherry,red
1027,banana,yellow
1028,apple,yellow
1029,banana,yellow
1030,banana,green
1031,apple,yellow
1032,banana,yellow
1033,banana,green
1034,banana,yellow
1035,banana,green
1036,banana,green
1037,apple,red
1038,banana,yellow
1039,apple,green
1040,banana,yellow
1041,cherry,red
1042,cherry,purple
1043,apple,green
1044,apple,red
1045,cherry,purple
1046,apple,green
1047,banana,green
1048,apple,yellow
1049,cherry,red
1050,banana,green
1051,apple,yellow
1052,apple,red
1053,banana,yellow
1054,cherry,red
1055,cherry,purple
1056,banana,green
1057,banana,yellow
1058,apple,green
1059,apple,red
1060,cherry,red
1061,apple,yellow
1062,banana,yellow
1063,apple,red
1064,apple,red
1065,banana,yellow
1066,apple,red
1067,banana,yellow
1068,banana,yellow
1069,apple,green
1070,apple,yellow
1071,banana,green
1072,apple,red
1073,cherry,red
1074,banana,green
1075,apple,yellow
1076,cherry,red
1077,banana,green
1078,banana,yellow
1079,cherry,purple
1080,cherry,purple
1081,banana,green
1082,apple,green
1083,apple,yellow
1084,banana,yellow
1085,apple,yellow
1086,apple,green
1087,cherry,purple
1088,cherry,red
1089,apple,green
1090,apple,yellow
1091,apple,green
1092,cherry,red
1093,banana,yellow
1094,apple,green
1095,banana,yellow
1096,cherry,red
1097,cherry,red
1098,banana,green
1099,apple,red
1100,apple,red
1101,cherry,red
1102,banana,green
1103,cherry,red
1104,apple,red
1105,banana,green
1106,apple,yellow
1107,banana,green
1108,apple,yellow
1109,cherry,purple
1110,apple,yellow
1111,banana,green
1112,cherry,purple
1113,apple,red
1114,banana,yellow
1115,banana,yellow
1116,apple,yellow
1117,banana,green
1118,apple,red
1119,apple,green
1120,banana,yellow
1121,banana,green
1122,apple,green
1123,cherry,purple
1124,banana,green
1125,apple,yellow
1126,banana,yellow
1127,cherry,red
1128,banana,yellow
1129,cherry,red
1130,cherry,purple
1131,apple,yellow
1132,apple,yellow
1133,apple,red
1134,banana,green
1135,apple,yellow
1136,banana,green
1137,banana,yellow
1138,apple,yellow
1139,banana,yellow
1140,banana,green
1141,banana,green
1142,apple,yellow
1143,banana,yellow
1144,apple,red
1145,banana,yellow
1146,apple,yellow
1147,apple,green
1148,apple,green
1149,apple,green
1150,banana,yellow
1151,cherry,red
1152,apple,red
1153,banana,yellow
1154,apple,green
1155,apple,green
1156,apple,red
1157,banana,yellow
1158,banana,green
1159,banana,green
1160,banana,yellow
1161,cherry,red
1162,apple,yellow
1163,cherry,purple
1164,apple,red
1165,banana,green
1166,cherry,red
1167,apple,green
1168,apple,red
1169,banana,green
1170,cherry,purple
1171,apple,red
1172,banana,green
1173,banana,green
1174,apple,yellow
1175,apple,yellow
1176,banana,green
1177,apple,green
1178,apple,red
1179,apple,yellow
1180,cherry,purple
1181,cherry,purple
1182,apple,green
1183,cherry,purple
1184,banana,green
1185,banana,green
1186,banana,green
1187,apple,yellow
1188,apple,red
1189,banana,yellow
1190,apple,green
1191,banana,yellow
1192,banana,green
1193,apple,red
1194,apple,green
1195,banana,green
1196,apple,red
1197,apple,green
1198,banana,green
1199,apple,red
1200,apple,red
1201,banana,green
1202,cherry,red
1203,apple,green
1204,cherry,red
1205,banana,yellow
1206,banana,yellow
1207,apple,green
1208,apple,red
1209,apple,green
1210,apple,green
1211,banana,yellow
1212,apple,red
1213,banana,green
1214,banana,yellow
1215,banana,yellow
1216,apple,green
1217,apple,yellow
1218,apple,green
1219,banana,green
1220,cherry,red
1221,apple,yellow
1222,cherry,red
1223,banana,yellow
1224,cherry,purple
1225,apple,yellow
1226,banana,yellow
1227,apple,green
1228,cherry,purple
1229,apple,yellow
1230,apple,yellow
1231,apple,yellow
1232,apple,yellow
1233,banana,yellow
1234,banana,green
1235,cherry,red
1236,cherry,purple
1237,banana,yellow
1238,banana,yellow
1239,apple,red
1240,banana,green
1241,apple,yellow
1242,banana,green
1243,banana,green
1244,banana,green
1245,banana,yellow
1246,apple,red
1247,banana,green
1248,apple,yellow
1249,apple,yellow
1250,banana,green
1251,cherry,purple
1252,cherry,purple
1253,apple,red
1254,apple,yellow
1255,banana,yellow
1256,banana,green
1257,banana,yellow
1258,apple,red
1259,banana,green
1260,banana,yellow
1261,apple,yellow
1262,apple,green
1263,apple,red
1264,banana,green
1265,banana,green
1266,banana,green
1267,apple,green
1268,apple,yellow
1269,apple,green
1270,banana,yellow
1271,cherry,red
1272,banana,yellow
1273,apple,green
1274,cherry,red
1275,cherry,red
1276,apple,yellow
1277,banana,yellow
1278,banana,yellow
1279,banana,green
1280,apple,yellow
1281,apple,green
1282,cherry,red
1283,banana,yellow
1284,apple,red
1285,banana,green
1286,banana,green
1287,banana,green
1288,banana,green
1289,banana,green
1290,apple,green
1291,banana,green
1292,cherry,red
1293,banana,green
1294,apple,green
1295,apple,green
1296,banana,green
1297,banana,yellow
1298,banana,green
1299,apple,yellow
1300,banana,yellow
1301,banana,green
1302,apple,red
1303,apple,green
1304,banana,green
1305,cherry,purple
1306,apple,green
1307,cherry,purple
1308,banana,green
1309,banana,green
1310,banana,yellow
1311,banana,yellow
1312,apple,green
1313,apple,green
1314,apple,green
1315,banana,green
1316,banana,yellow
1317,banana,green
1318,cherry,purple
1319,banana,yellow
1320,cherry,purple
1321,banana,green
1322,apple,yellow
1323,cherry,purple
1324,cherry,red
1325,banana,green
1326,cherry,red
1327,banana,yellow
1328,cherry,red
1329,apple,yellow
1330,banana,green
1331,cherry,purple
1332,apple,red
1333,cherry,red
1334,cherry,purple
1335,banana,yellow
1336,apple,yellow
1337,apple,yellow
1338,apple,yellow
1339,cherry,red
1340,apple,green
1341,cherry,purple
1342,cherry,red
1343,banana,yellow
1344,apple,yellow
1345,apple,red
1346,cherry,purple
1347,banana,green
1348,banana,green
1349,banana,yellow
1350,banana,green
1351,banana,green
1352,banana,green
1353,apple,red
1354,cherry,red
1355,banana,green
1356,banana,green
1357,cherry,purple
1358,apple,green
1359,cherry,purple
1360,apple,green
1361,apple,yellow
1362,apple,green
1363,cherry,red
1364,apple,yellow
1365,cherry,purple
1366,apple,red
1367,banana,yellow
1368,cherry,purple
1369,apple,yellow
1370,cherry,purple
1371,apple,green
1372,apple,green
1373,apple,green
1374,banana,yellow
1375,apple,yellow
1376,apple,yellow
1377,cherry,purple
1378,banana,yellow
1379,apple,green
1380,apple,yellow
1381,apple,yellow
1382,banana,yellow
1383,banana,yellow
1384,cherry,purple
1385,banana,green
1386,apple,green
1387,apple,red
1388,apple,green
1389,cherry,red
1390,apple,red
1391,banana,yellow
1392,apple,yellow
1393,apple,yellow
1394,apple,green
1395,banana,yellow
1396,cherry,purple
1397,cherry,red
1398,cherry,red
1399,cherry,purple
1400,apple,green
1401,apple,red
1402,apple,yellow
1403,apple,yellow
1404,banana,green
1405,cherry,red
1406,cherry,purple
1407,apple,yellow
1408,banana,green
1409,apple,red
1410,cherry,red
1411,banana,yellow
1412,apple,yellow
1413,banana,yellow
1414,cherry,purple
1415,apple,yellow
1416,banana,yellow
1417,cherry,red
1418,apple,red
1419,apple,red
1420,apple,red
1421,cherry,purple
1422,banana,green
1423,banana,green
1424,apple,yellow
1425,banana,yellow
1426,apple,green
1427,apple,red
1428,cherry,red
1429,banana,green
1430,banana,yellow
1431,apple,green
1432,banana,yellow
1433,apple,red
1434,cherry,red
1435,banana,yellow
1436,apple,yellow
1437,banana,yellow
1438,apple,yellow
1439,apple,red
1440,apple,green
1441,banana,green
1442,apple,red
1443,banana,green
1444,banana,yellow
1445,cherry,red
1446,apple,green
1447,apple,red
1448,apple,yellow
1449,banana,green
1450,banana,green
1451,apple,yellow
1452,apple,red
1453,apple,red
1454,cherry,red
1455,apple,yellow
1456,apple,red
1457,apple,green
1458,apple,red
1459,apple,red
1460,banana,green
1461,apple,red
1462,banana,green
1463,apple,red
1464,banana,yellow
1465,banana,yellow
1466,apple,yellow
1467,cherry,purple
1468,apple,green
1469,cherry,purple
1470,apple,yellow
1471,banana,green
1472,apple,yellow
1473,cherry,red
1474,banana,green
1475,cherry,red
1476,banana,yellow
1477,apple,green
1478,apple,yellow
1479,apple,yellow
1480,cherry,purple
1481,apple,yellow
1482,apple,yellow
1483,banana,yellow
1484,apple,red
1485,banana,yellow
1486,cherry,red
1487,banana,yellow
1488,apple,red
1489,cherry,purple
1490,banana,green
1491,banana,yellow
1492,banana,yellow
1493,banana,green
1494,apple,yellow
1495,apple,yellow
1496,cherry,red
1497,apple,green
1498,cherry,purple
1499,banana,green
1500,apple,green
1501,apple,red
1502,apple,yellow
1503,apple,red
1504,apple,green
1505,apple,red
1506,banana,yellow
1507,banana,green
1508,apple,red
1509,apple,yellow
1510,apple,yellow
1511,banana,yellow
1512,apple,green
1513,apple,yellow
1514,apple,green
1515,apple,red
1516,banana,green
1517,cherry,red
1518,apple,green
1519,cherry,red
1520,apple,red
1521,cherry,red
1522,apple,red
1523,cherry,red
1524,apple,green
1525,apple,yellow
1526,cherry,red
1527,banana,green
1528,cherry,red
1529,apple,red
1530,apple,yellow
1531,banana,yellow
1532,apple,green
1533,apple,green
1534,apple,yellow
1535,banana,green
1536,banana,green
1537,banana,yellow
1538,apple,red
1539,apple,green
1540,cherry,red
1541,banana,yellow
1542,banana,green
1543,banana,green
1544,apple,green
1545,apple,green
1546,apple,yellow
1547,apple,yellow
1548,cherry,purple
1549,cherry,purple
1550,banana,green
1551,apple,yellow
1552,banana,green
1553,apple,red
1554,apple,red
1555,apple,green
1556,apple,green
1557,banana,yellow
1558,cherry,red
1559,apple,red
1560,apple,yellow
1561,apple,red
1562,banana,green
1563,apple,red
1564,apple,yellow
1565,apple,yellow
1566,banana,yellow
1567,banana,green
1568,cherry,red
1569,banana,yellow
1570,cherry,purple
1571,banana,yellow
1572,banana,yellow
1573,apple,yellow
1574,apple,yellow
1575,banana,green
1576,cherry,red
1577,cherry,purple
1578,banana,green
1579,apple,red
1580,banana,yellow
1581,cherry,purple
1582,cherry,purple
1583,banana,green
1584,banana,green
1585,apple,red
1586,cherry,purple
1587,cherry,purple
1588,banana,yellow
1589,banana,green
1590,apple,yellow
1591,cherry,purple
1592,apple,yellow
1593,apple,red
1594,banana,green
1595,cherry,red
1596,apple,green
1597,cherry,red
1598,banana,yellow
1599,cherry,red
1600,apple,red
1601,apple,green
1602,apple,red
1603,cherry,purple
1604,banana,green
1605,apple,yellow
1606,apple,green
1607,cherry,red
1608,apple,green
1609,banana,yellow
1610,cherry,purple
1611,cherry,purple
1612,banana,yellow
1613,cherry,red
1614,apple,red
1615,cherry,red
1616,apple,green
1617,apple,red
1618,apple,red
1619,cherry,red
1620,banana,yellow
1621,apple,yellow
1622,cherry,red
1623,banana,yellow
1624,banana,green
1625,apple,red
1626,apple,red
1627,banana,green
1628,banana,green
1629,apple,red
1630,apple,yellow
1631,cherry,red
1632,apple,red
1633,banana,green
1634,cherry,purple
1635,apple,red
1636,apple,yellow
1637,apple,red
1638,banana,yellow
1639,apple,green
1640,banana,green
1641,apple,yellow
1642,apple,green
1643,cherry,purple
1644,apple,red
1645,apple,green
1646,apple,green
1647,banana,yellow
1648,cherry,red
1649,apple,green
1650,cherry,purple
1651,cherry,red
1652,banana,green
1653,cherry,purple
1654,cherry,purple
1655,banana,yellow
1656,banana,yellow
1657,apple,yellow
1658,apple,yellow
1659,cherry,red
1660,apple,green
1661,apple,red
1662,cherry,red
1663,apple,green
1664,apple,yellow
1665,banana,yellow
1666,cherry,purple
1667,apple,yellow
1668,cherry,red
1669,apple,yellow
1670,apple,green
